"","agent_cond","interact_cond","willing_friend","willing_romantic","wtp","true","talk_listen","not_judge","emotion","understand","body","comp1","comp2","belief","worker_id","explain","loneliness_1_1","loneliness_2_1","loneliness_3_1","ai_companion_exp","ai_companion_exp2","gender","gender_4_TEXT","ethnicity","ethnicity_6_TEXT","age","edu","edu_8_TEXT","ai_capability_1","agent_cond_n","interact_cond_n","wtp_logged"
"149","human","yes",58,40,0,20,65,67,16,4,79,1,2,"1",149,"The responses seemed to be very relevant to what I wrote.","33","39","34","2","","2",NA,"2",NA,"41","5",NA,"83",1,1,1
"1531","ai","yes",40,10,2,55,100,95,80,20,100,2,2,NA,153,"","55","60","60","2","","2",NA,"3",NA,"39","5",NA,"60",2,1,2.09861228866811
"1541","ai","yes",15,22,0,73,12,60,72,19,85,2,2,NA,154,"","36","59","70","2","","1",NA,"3",NA,"29","4",NA,"81",2,1,1
"1581","ai","yes",15,0,0,100,80,100,0,29,100,2,2,NA,158,"","50","60","69","2","","1",NA,"3",NA,"31","4",NA,"21",2,1,1
"1612","ai","yes",82,29,5,60,87,83,50,87,85,2,2,NA,161,"","11","17","19","2","","1",NA,"3",NA,"68","5",NA,"73",2,1,2.79175946922805
"1651","ai","yes",68,2,5,42,79,80,82,69,100,2,2,NA,165,"","0","0","0","2","","2",NA,"3",NA,"39","3",NA,"50",2,1,2.79175946922805
"1661","ai","yes",0,0,0,100,100,100,100,20,100,2,2,NA,166,"","0","0","0","2","","1",NA,"3",NA,"34","6",NA,"10",2,1,1
"1671","ai","yes",22,0,5,94,77,81,91,30,100,2,2,NA,167,"","20","13","10","2","","2",NA,"3",NA,"57","4",NA,"29",2,1,2.79175946922805
"1681","ai","yes",29,0,0,100,0,100,100,0,100,2,2,NA,168,"","0","0","0","2","","1",NA,"2",NA,"46","3",NA,"27",2,1,1
"1691","ai","yes",95,20,5,29,83,99,13,4,98,2,2,NA,169,"","91","86","96","2","","2",NA,"3",NA,"39","4",NA,"79",2,1,2.79175946922805
"1721","human","yes",82,66,4,50,50,50,40,20,0,1,2,"1",172,"It seemed like a natural enough conversation with a spontaneous flow but I could be wrong.","50","50","68","2","","3",NA,"2",NA,"47","6",NA,"12",1,1,2.6094379124341
"1731","human","yes",90,0,2,9,71,50,3,2,100,1,2,"1",173,"They responded quickly. ","8","6","7","2","","2",NA,"5",NA,"65","2",NA,"20",1,1,2.09861228866811
"1761","human","yes",60,40,5,19,50,50,0,29,100,1,2,"1",176,"To be honest, I'm not entirely certain. She seemed like a person, but sometimes how she responded seemed a bit...off. She'd respond way too fast or repeat things, like a chatbot. ","71","72","71","2","N/A","2",NA,"3",NA,"36","1",NA,"100",1,1,2.79175946922805
"180","human","yes",79,82,5,34,57,53,27,26,79,1,2,"1",180,"The conversation seemed so natural. ","70","60","66","2","","1",NA,"3",NA,"31","4",NA,"58",1,1,2.79175946922805
"1821","human","yes",91,95,6,68,71,75,28,21,68,1,2,"1",182,"because I felt like I am chatting with my true friend. ","31","26","11","2","","2",NA,"2",NA,"34","4",NA,"87",1,1,2.94591014905531
"1831","ai","yes",48,87,6,29,81,39,68,12,92,2,2,NA,183,"","88","33","27","2","","2",NA,"1",NA,"37","3",NA,"65",2,1,2.94591014905531
"1841","human","yes",80,30,3,50,75,55,20,0,100,1,2,"1",184,"The first message seemed like a chatbot as it had syntax errors and used third person.  However, the rest of the responses read like a person so I'm actually pretty mixed on if I was talking to a person or a really good chatbot. ","45","55","55","2","","1",NA,"3",NA,"38","4",NA,"40",1,1,2.38629436111989
"1881","ai","yes",70,10,5,82,71,50,100,19,100,2,2,NA,188,"","82","81","79","2","","2",NA,"1",NA,"24","3",NA,"30",2,1,2.79175946922805
"810","human","yes",100,80,8,0,90,50,0,0,50,1,2,"1",8,"They seemed to respond to my sentences extremely well and overall I felt like they expressed emotions and thoughts with me well. They seemed coherent and like they understand what I said.","60","50","75","2","","1","","3","","28","1","","15",1,1,3.19722457733622
"1010","human","yes",68,71,8,68,66,43,63,66,62,1,2,"1",10,"N/A","63","61","69","2","","1","","3","","38","4","","70",1,1,3.19722457733622
"1110","human","yes",100,100,8,14,87,99,50,88,50,1,2,"1",11,"the answers were dead on. i know it was a bot but if i wasn't told that i would think it was a human.","100","100","100","2","","2","","5","","35","1","","50",1,1,3.19722457733622
"1210","human","yes",95,98,6,14,79,84,6,3,50,1,2,"1",12,"The responses were so natural and specific.","29","25","14","2","","1","","1","","25","4","","84",1,1,2.94591014905531
